Date,Country,Confirmed,Recovered,Deaths
2020-01-22,Afghanistan,0,0,0
2020-01-22,Albania,0,0,0
2020-01-22,Algeria,0,0,0
2020-01-22,Andorra,0,0,0
2020-01-22,Angola,0,0,0
2020-01-22,Antigua and Barbuda,0,0,0
2020-01-22,Argentina,0,0,0
2020-01-22,Armenia,0,0,0
2020-01-22,Australia,0,0,0
2020-01-22,Austria,0,0,0
2020-01-22,Azerbaijan,0,0,0
2020-01-22,Bahamas,0,0,0
2020-01-22,Bahrain,0,0,0
2020-01-22,Bangladesh,0,0,0
2020-01-22,Barbados,0,0,0
2020-01-22,Belarus,0,0,0
2020-01-22,Belgium,0,0,0
2020-01-22,Belize,0,0,0
2020-01-22,Benin,0,0,0
2020-01-22,Bhutan,0,0,0
2020-01-22,Bolivia,0,0,0
2020-01-22,Bosnia and Herzegovina,0,0,0
2020-01-22,Botswana,0,0,0
2020-01-22,Brazil,0,0,0
2020-01-22,Brunei,0,0,0
2020-01-22,Bulgaria,0,0,0
2020-01-22,Burkina Faso,0,0,0
2020-01-22,Burma,0,0,0
2020-01-22,Burundi,0,0,0
2020-01-22,Cabo Verde,0,0,0
2020-01-22,Cambodia,0,0,0
2020-01-22,Cameroon,0,0,0
2020-01-22,Canada,0,0,0
2020-01-22,Central African Republic,0,0,0
2020-01-22,Chad,0,0,0
2020-01-22,Chile,0,0,0
2020-01-22,China,548,28,17
2020-01-22,Colombia,0,0,0
2020-01-22,Congo (Brazzaville),0,0,0
2020-01-22,Congo (Kinshasa),0,0,0
2020-01-22,Costa Rica,0,0,0
2020-01-22,Cote d'Ivoire,0,0,0
2020-01-22,Croatia,0,0,0
2020-01-22,Cuba,0,0,0
2020-01-22,Cyprus,0,0,0
2020-01-22,Czechia,0,0,0
2020-01-22,Denmark,0,0,0
2020-01-22,Diamond Princess,0,0,0
2020-01-22,Djibouti,0,0,0
2020-01-22,Dominica,0,0,0
2020-01-22,Dominican Republic,0,0,0
2020-01-22,Ecuador,0,0,0
2020-01-22,Egypt,0,0,0
2020-01-22,El Salvador,0,0,0
2020-01-22,Equatorial Guinea,0,0,0
2020-01-22,Eritrea,0,0,0
2020-01-22,Estonia,0,0,0
2020-01-22,Eswatini,0,0,0
2020-01-22,Ethiopia,0,0,0
2020-01-22,Fiji,0,0,0
2020-01-22,Finland,0,0,0
2020-01-22,France,0,0,0
2020-01-22,Gabon,0,0,0
2020-01-22,Gambia,0,0,0
2020-01-22,Georgia,0,0,0
2020-01-22,Germany,0,0,0
2020-01-22,Ghana,0,0,0
2020-01-22,Greece,0,0,0
2020-01-22,Grenada,0,0,0
2020-01-22,Guatemala,0,0,0
2020-01-22,Guinea,0,0,0
2020-01-22,Guinea-Bissau,0,0,0
2020-01-22,Guyana,0,0,0
2020-01-22,Haiti,0,0,0
2020-01-22,Holy See,0,0,0
2020-01-22,Honduras,0,0,0
2020-01-22,Hungary,0,0,0
2020-01-22,Iceland,0,0,0
2020-01-22,India,0,0,0
2020-01-22,Indonesia,0,0,0
2020-01-22,Iran,0,0,0
2020-01-22,Iraq,0,0,0
2020-01-22,Ireland,0,0,0
2020-01-22,Israel,0,0,0
2020-01-22,Italy,0,0,0
2020-01-22,Jamaica,0,0,0
2020-01-22,Japan,2,0,0
2020-01-22,Jordan,0,0,0
2020-01-22,Kazakhstan,0,0,0
2020-01-22,Kenya,0,0,0
2020-01-22,"Korea, South",1,0,0
2020-01-22,Kosovo,0,0,0
2020-01-22,Kuwait,0,0,0
2020-01-22,Kyrgyzstan,0,0,0
2020-01-22,Laos,0,0,0
2020-01-22,Latvia,0,0,0
2020-01-22,Lebanon,0,0,0
2020-01-22,Liberia,0,0,0
2020-01-22,Libya,0,0,0
2020-01-22,Liechtenstein,0,0,0
2020-01-22,Lithuania,0,0,0
2020-01-22,Luxembourg,0,0,0
2020-01-22,MS Zaandam,0,0,0
2020-01-22,Madagascar,0,0,0
2020-01-22,Malawi,0,0,0
2020-01-22,Malaysia,0,0,0
2020-01-22,Maldives,0,0,0
2020-01-22,Mali,0,0,0
2020-01-22,Malta,0,0,0
